Sample,Task,Mean Tonic,Max Slope,Num Peaks,Mean Amplitude,Std Amplitude,Total Power,EDASymp Power,subject_id,Mean Tonic_norm,Max Slope_norm,Num Peaks_norm,Mean Amplitude_norm,Std Amplitude_norm,Total Power_norm,EDASymp Power_norm
s15,task2,0.4952593955887573,0.0095365034862435,21,0.0318573871703718,0.0178096695247544,0.0001689556812047,7.867046832770305e-05,s15,0.6146529127210595,0.3841241103575431,0.17333333331022224,0.5768482656258018,0.4703845496763647,0.11142654690677732,0.08398840764214312
s15,task3,0.7544555890933922,0.0242769446298723,12,0.0524152635573465,0.0367897241404731,0.0015093246027531,0.0009318504409966,s15,0.9999999851329964,0.9999995821865398,0.053333333326222226,0.9999997941657394,0.9999997209622511,0.9999933707294347,0.9999892636854428
s16,rest0,0.0909490787308358,0.0029216323335655,4,0.0040066130443554,0.0019124137237016,1.186748722495396e-05,5.924316018265577e-06,s16,0.6119139904680967,0.0,0.0,0.0,0.0,0.0,0.0
s16,task1,0.0562440763668684,0.0143938776549299,11,0.0401194034750977,0.0319356636752338,0.0002908800712581,0.0001588107674824,s16,0.0,0.9470985636780991,0.7777777769135802,0.9999997230898772,0.9999996669249103,0.9999641606071614,0.9999345962584204
s16,task2,0.0814359846340252,0.0150346650107832,13,0.0352644500780135,0.0297520810891859,0.0001671747070191,6.224228668991143e-05,s16,0.4441803793469014,0.9999991744435922,0.9999999988888888,0.8655611489783206,0.9272699703638789,0.5566116460870298,0.3683406000096516
s16,task3,0.1129595572766596,0.0066530041175559,10,0.032817479383579,0.0275985122303734,0.0001230715074922,7.437983754447724e-05,s16,0.9999998236813287,0.30804578861167486,0.6666666659259258,0.7978020534430037,0.8555399562918196,0.3985484567587394,0.44772472395979424
s17,rest0,0.866012553079537,0.0236792976159949,9,0.0554537319609777,0.0557033246086764,0.0011154411117157,0.0006445477261984,s17,0.0,0.3837274826421266,0.0,0.0,0.0,0.14421286406185818,0.21147285239459884
s17,task1,1.2191391393139692,0.0189868843657458,12,0.2032706772109366,0.183837021837045,0.0045314568927017,0.0022051446391645,s17,0.7047077123171683,0.2387448136531986,0.9999999966666667,0.9999999323487622,0.9999999219565233,0.9999974947872446,0.9999949473045323
s17,task2,0.9204821392402686,0.0112598275055905,11,0.06524918488507,0.0557853754136457,0.0005397899469607,0.0002260129980614,s17,0.10870078592357554,0.0,0.6666666644444444,0.06626745157568809,0.0006403530089320151,0.0,0.0
s17,task3,1.3671090687203693,0.0436251566386937,12,0.097007641282318,0.071470097025355,0.0024574394607063,0.0016646637622296,s17,0.9999999800437649,0.9999996910274921,0.9999999966666667,0.28111734036919184,0.12304937364044259,0.4804120022267019,0.7269064195760893
s18,rest0,0.3739950593159905,0.0153554196491163,5,0.0934623352408792,0.0242886069126024,0.0004805824508919,0.0003196787143891,s18,0.0,0.0,0.0,0.47504615369505737,0.007850473025648397,0.05975891005611208,0.07366735921745433
s18,task1,0.688538697800076,0.0309346221462485,6,0.1545357024488449,0.1235006841377576,0.0029885019731794,0.0021772216844372,s18,0.40173098909232363,0.2071141286272866,0.06666666662222222,0.9999999140453877,0.9999998999971118,0.5698965070205025,0.6193227279134095
s18,task2,0.5784801577865111,0.0290709540424619,20,0.0381952424478145,0.0235035822833466,0.0001867979150095,6.88971898465655e-05,s18,0.26116567246156447,0.18233802115726158,0.9999999993333333,0.0,0.0,0.0,0.0
s18,task3,1.1569658606909596,0.0905757850063564,6,0.1311920613502991,0.1029046102959705,0.0051029508036322,0.0034731292748963,s18,0.9999999872281318,0.9999998670572974,0.06666666662222222,0.7993505518901629,0.7940332129614545,0.9999979658932736,0.9999970624885804
s19,rest0,0.4152567720124516,0.0061728214286365,12,0.0074986826986642,0.0046681751420329,5.151602137527193e-06,2.1417414423640683e-06,s19,0.0,0.008661936083071127,0.3999999996,0.0,0.0,0.0,0.0
s19,task1,0.435955419165451,0.0057077151720961,15,0.0197889649194472,0.0134427257288729,7.736483887202698e-05,4.177534399407388e-05,s19,0.010878626778926039,0.0,0.6999999992999999,0.050702877232360485,0.06465178047638774,0.008596117182011144,0.007616964036571241
s19,task2,0.8892793248001417,0.0340881968146081,18,0.0476974054834581,0.0262624251300471,0.0003757405019777,0.0001907668114327,s19,0.24913292151191616,0.5285457130221579,0.9999999989999999,0.1658375999542544,0.15910862852294708,0.044114150721301044,0.03625081451118655
