Sample,Task,Mean Tonic,Max Slope,Num Peaks,Mean Amplitude,Std Amplitude,Total Power,EDASymp Power,subject_id,Mean Tonic_norm,Max Slope_norm
s2,rest0,0.1418901477848803,0.0007363976846393,18,0.0097899598813452,0.00625568537059,7.057538950337755e-06,1.9105409194310865e-06,s2,0.0,0.0
s2,task1,0.1471855608461472,0.0031195573999271,9,0.0189826974142437,0.0148405805196265,3.883497014996265e-05,1.1253322857310164e-05,s2,0.07801025836279563,0.5430183942873552
s2,task2,0.1811562808358532,0.005125115102272,7,0.0185987379946012,0.0093748552015049,0.0001001373430481,4.092301646156513e-05,s2,0.5784555706559849,0.9999977214351569
s2,task3,0.2097711212914338,0.0020457066193433,7,0.0177409650383333,0.0100779278718251,3.368837879861411e-05,1.109557876753764e-05,s2,0.9999998526833367,0.2983345307442784
s20,rest0,0.1019760333254254,0.0011015390181133,103,0.003771186258049,0.0007807289919013,7.494881940648094e-06,4.372911276205373e-07,s20,0.0,0.0
s20,task1,0.2467450235517297,0.0166133837329075,11,0.0110051174239272,0.0083054942194604,5.9263711860872e-05,9.35589020504404e-06,s20,0.14292121091400867,0.9999993553317651
s20,task2,0.8440177552225336,0.010720055757934,8,0.0282455130782778,0.0269537321675627,0.0001986856956975,7.010047256721078e-05,s20,0.7325705682996538,0.6200752209629182
s20,task3,1.1149046803139768,0.0117621997735915,8,0.0233460581563325,0.0098816384681053,0.0001824959162612,6.851430567008648e-05,s20,0.9999999901276365,0.6872589352781105
s21,rest0,0.3620358621087459,0.0012680852607155,17,0.0052626567476578,0.0024150742081067,1.2116004247236984e-05,4.392283127262375e-06,s21,0.0,0.0
s21,task1,0.5062249547525352,0.0053114292319365,14,0.0183209548119599,0.0132220027474756,0.0002762732768975,0.0001078231504511,s21,0.22960219650997596,0.18704881786050767
s21,task2,0.6312053431947536,0.0097001009775765,6,0.0352668109147139,0.0334690110464973,0.0005640823907488,0.0003239253485281,s21,0.42861705388129323,0.39007281676898553
s21,task3,0.9900311188592728,0.0228845923682245,12,0.0823831210059181,0.0799103899635113,0.0024163429026542,0.0009947290136173,s21,0.9999999840763131,0.9999995373907854
s22,rest0,0.5477665836971635,0.0102554985999908,6,0.036245338242968,0.0296157219579211,0.0007326134562483,0.0002195440877507,s22,0.0,0.0
s22,task1,1.1523282294884376,0.0461962622799631,14,0.119307996562798,0.0666344653193759,0.0045222167256364,0.0017115595097983,s22,0.30337405772711756,0.4481092242185928
s22,task2,1.483422045954634,0.0404329944110679,11,0.1102786422377733,0.0681263267500404,0.0049764873580122,0.0017672681255193,s22,0.46951968619853796,0.3762528352812122
s22,task3,2.5405593995592626,0.0904608531350444,8,0.2824086435005798,0.165444650556897,0.0254762725329211,0.0064563505209305,s22,0.9999999949819169,0.9999998753200605
s23,rest0,3.1468342439214134,0.00987979329718,9,0.0389260185595561,0.0359166684461988,0.0013786573200822,0.0004629771287043,s23,0.9999999371307652,0.0
s23,task1,3.0867419297130527,0.0867606944066089,8,0.2814493631916754,0.2493852242704531,0.0144506619074078,0.0055308874660516,s23,0.6222041558889444,0.6855953836099585
s23,task2,2.987773943584341,0.0576826244667581,18,0.1299720572251234,0.0704414456114464,0.0032256329966901,0.0013308889036352,s23,0.0,0.42628793237869
s23,task3,3.095541665752209,0.1220172085881985,3,0.5774523151528452,0.1468235407860938,0.0087657137320506,0.0035221909990121,s23,0.677527423022701,0.9999999108237061
s24,rest0,0.2516328965659117,0.0006284099785972,15,0.0079174692236958,0.0047471354002105,2.9709246617786454e-06,4.1513631110844553e-07,s24,0.12897998358072196,0.0
s24,task1,0.1967060270517051,0.0135731516940527,1,0.4291866600709344,0.0,0.0006880056407547,0.0001974742492069,s24,0.0,0.8365962706838621
