hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,method,config_id,feature_group,n_features,input_channels
32,0.9,200,0.005,population,30,6,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.5787170763044565,0.5787170763044563,116,29,snnTorch,215,tonic,2,6
8,0.9,200,0.005,population,30,10,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.5758496375780071,0.5758496375780072,116,29,snnTorch,54,tonic,2,6
64,0.9,200,0.005,population,30,4,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.572123015873016,0.5721230158730158,116,29,snnTorch,295,tonic,2,6
16,0.9,100,0.005,population,30,10,3,0.25,0.0001,0.5862068965517241,0.5862068965517242,0.575236646382691,0.5752366463826909,116,29,snnTorch,126,tonic,2,6
16,0.95,100,0.005,population,30,6,3,0.25,0.0001,0.5862068965517241,0.5862068965517242,0.5738238477209066,0.5738238477209066,116,29,snnTorch,152,tonic,2,6
16,0.85,100,0.005,population,30,10,3,0.25,0.0001,0.5862068965517241,0.5862068965517242,0.5698042932605691,0.5698042932605693,116,29,snnTorch,99,tonic,2,6
16,0.95,100,0.005,population,30,10,3,0.25,0.0001,0.5862068965517241,0.5862068965517242,0.5654186795491143,0.5654186795491143,116,29,snnTorch,153,tonic,2,6
64,0.85,100,0.0005,population,30,10,3,0.25,0.0001,0.5862068965517241,0.5862068965517241,0.5786065786065786,0.5786065786065786,116,29,snnTorch,255,tonic,2,6
32,0.85,100,0.001,population,30,10,3,0.25,0.0001,0.5775862068965517,0.5775862068965518,0.5645846987323029,0.5645846987323029,116,29,snnTorch,177,tonic,2,6
64,0.9,100,0.001,population,30,10,3,0.25,0.0001,0.5775862068965517,0.5775862068965518,0.5629305977710233,0.5629305977710233,116,29,snnTorch,285,tonic,2,6
8,0.85,200,0.005,population,30,10,3,0.25,0.0001,0.5775862068965517,0.5775862068965518,0.5607593146886534,0.5607593146886534,116,29,snnTorch,27,tonic,2,6
16,0.9,200,0.001,population,30,10,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5652152152152152,0.5652152152152151,116,29,snnTorch,132,tonic,2,6
64,0.9,100,0.001,population,30,6,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5650147356580743,0.5650147356580743,116,29,snnTorch,284,tonic,2,6
64,0.85,200,0.0005,population,30,6,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5648481383405553,0.5648481383405554,116,29,snnTorch,263,tonic,2,6
