hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,method,config_id,feature_group,n_features,input_channels
16,0.85,100,0.001,population,30,10,3,0.25,0.0001,0.4051724137931034,0.4051724137931035,0.36823051171688187,0.3682305117168819,116,29,snnTorch,96,tonic,2,6
16,0.85,200,0.0005,population,30,6,3,0.25,0.0001,0.4051724137931034,0.4051724137931034,0.36290356929891815,0.3629035692989182,116,29,snnTorch,101,tonic,2,6
8,0.85,50,0.005,population,30,6,3,0.25,0.0001,0.4051724137931034,0.4051724137931034,0.34235687518250546,0.3423568751825054,116,29,snnTorch,8,tonic,2,6
8,0.95,50,0.005,population,30,10,3,0.25,0.0001,0.4051724137931034,0.4051724137931034,0.32202380952380955,0.32202380952380955,116,29,snnTorch,63,tonic,2,6
8,0.85,50,0.005,population,30,4,3,0.25,0.0001,0.3879310344827586,0.3879310344827587,0.3381756756756757,0.3381756756756757,116,29,snnTorch,7,tonic,2,6
8,0.95,200,0.0005,population,30,6,3,0.25,0.0001,0.3879310344827586,0.3879310344827586,0.38048896999794934,0.38048896999794934,116,29,snnTorch,74,tonic,2,6
8,0.9,50,0.005,population,30,4,3,0.25,0.0001,0.3879310344827586,0.3879310344827586,0.34475850946439185,0.34475850946439185,116,29,snnTorch,34,tonic,2,6
16,0.85,200,0.0005,population,30,4,3,0.25,0.0001,0.3879310344827586,0.3879310344827586,0.3416666666666667,0.3416666666666667,116,29,snnTorch,100,tonic,2,6
8,0.9,50,0.005,population,30,6,3,0.25,0.0001,0.3879310344827586,0.3879310344827586,0.3363989326617497,0.3363989326617497,116,29,snnTorch,35,tonic,2,6
8,0.85,100,0.001,population,30,10,3,0.25,0.0001,0.3793103448275862,0.37931034482758624,0.3510043224002034,0.3510043224002034,116,29,snnTorch,15,tonic,2,6
8,0.9,200,0.001,population,30,4,3,0.25,0.0001,0.3793103448275862,0.3793103448275862,0.3355815544488886,0.3355815544488886,116,29,snnTorch,49,tonic,2,6
