hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,config_id,n_features,input_channels
32,0.9,100,0.001,population,30,4,3,0.25,0.5172413793103449,0.5172413793103448,0.4908891737588038,0.49088917375880387,116,29,121,7,21
64,0.85,100,0.005,population,30,4,3,0.25,0.5086206896551724,0.5086206896551724,0.4947829773438571,0.49478297734385707,116,29,178,7,21
16,0.85,50,0.005,population,30,6,3,0.25,0.5086206896551724,0.5086206896551724,0.48455502254678984,0.48455502254678984,116,29,8,7,21
32,0.95,50,0.005,population,30,6,3,0.25,0.5086206896551724,0.5086206896551724,0.4944367444367444,0.4944367444367444,116,29,143,7,21
64,0.95,50,0.005,population,30,4,3,0.25,0.5086206896551724,0.5086206896551724,0.4847222222222222,0.48472222222222217,116,29,223,7,21
64,0.9,100,0.0005,population,30,6,3,0.25,0.5086206896551724,0.5086206896551724,0.4875243664717349,0.48752436647173486,116,29,200,7,21
32,0.9,100,0.001,population,30,10,3,0.25,0.5086206896551724,0.5086206896551724,0.4803066613411441,0.4803066613411441,116,29,123,7,21
32,0.95,200,0.0005,population,30,10,3,0.25,0.5086206896551724,0.5086206896551724,0.4865892972275951,0.4865892972275951,116,29,156,7,21
32,0.95,200,0.0005,population,30,6,3,0.25,0.5,0.5,0.47184232132054277,0.47184232132054277,116,29,155,7,21
64,0.95,100,0.0005,population,30,4,3,0.25,0.5,0.5,0.464531534421579,0.46453153442157913,116,29,226,7,21
16,0.85,100,0.001,population,30,10,3,0.25,0.5,0.5,0.47639279325325834,0.47639279325325845,116,29,15,7,21
64,0.95,50,0.001,population,30,6,3,0.25,0.5,0.5,0.44570609023801433,0.44570609023801433,116,29,221,7,21
32,0.9,200,0.0005,population,30,4,3,0.25,0.5,0.5,0.4712247889305816,0.47122478893058156,116,29,127,7,21
64,0.95,50,0.001,population,30,10,3,0.25,0.5,0.49999999999999994,0.45644257703081226,0.45644257703081226,116,29,222,7,21
32,0.85,100,0.0005,population,30,10,3,0.25,0.49137931034482757,0.4913793103448276,0.47062651599397676,0.4706265159939768,116,29,93,7,21
16,0.95,200,0.0005,population,30,6,3,0.25,0.49137931034482757,0.4913793103448276,0.4541317010871258,0.45413170108712586,116,29,74,7,21
32,0.95,100,0.001,population,30,10,3,0.25,0.49137931034482757,0.4913793103448276,0.47087615888154977,0.4708761588815497,116,29,150,7,21
16,0.95,100,0.001,population,30,10,3,0.25,0.49137931034482757,0.49137931034482757,0.4585244079340647,0.4585244079340647,116,29,69,7,21
32,0.9,100,0.0005,population,30,6,3,0.25,0.49137931034482757,0.49137931034482757,0.45456437660045906,0.4545643766004591,116,29,119,7,21
16,0.9,200,0.0005,population,30,10,3,0.25,0.4827586206896552,0.48275862068965525,0.4508298392732355,0.45082983927323556,116,29,48,7,21
16,0.9,50,0.005,population,30,4,3,0.25,0.4827586206896552,0.4827586206896552,0.42549082601556365,0.42549082601556365,116,29,34,7,21
16,0.85,200,0.0005,population,30,6,3,0.25,0.4827586206896552,0.4827586206896552,0.45755632040050065,0.4575563204005006,116,29,20,7,21
32,0.9,50,0.001,population,30,10,3,0.25,0.4827586206896552,0.48275862068965514,0.44306988322945773,0.4430698832294577,116,29,114,7,21
16,0.95,50,0.005,population,30,6,3,0.25,0.4827586206896552,0.48275862068965514,0.4431456402946068,0.4431456402946068,116,29,62,7,21
16,0.85,100,0.001,population,30,6,3,0.25,0.4827586206896552,0.48275862068965514,0.4509933051234678,0.45099330512346786,116,29,14,7,21
16,0.9,100,0.001,population,30,10,3,0.25,0.47413793103448276,0.47413793103448276,0.43649176538085116,0.43649176538085116,116,29,42,7,21
16,0.85,200,0.0005,population,30,10,3,0.25,0.47413793103448276,0.47413793103448276,0.449995231002178,0.44999523100217803,116,29,21,7,21
64,0.85,50,0.001,population,30,10,3,0.25,0.47413793103448276,0.47413793103448276,0.44127381946930816,0.44127381946930816,116,29,168,7,21
32,0.95,200,0.0005,population,30,4,3,0.25,0.47413793103448276,0.47413793103448276,0.41936515985704625,0.4193651598570463,116,29,154,7,21
32,0.95,50,0.001,population,30,10,3,0.25,0.47413793103448276,0.47413793103448276,0.4242440956726671,0.4242440956726671,116,29,141,7,21
32,0.9,200,0.0005,population,30,10,3,0.25,0.47413793103448276,0.47413793103448276,0.4577835208269991,0.457783520826999,116,29,129,7,21
32,0.85,50,0.001,population,30,10,3,0.25,0.46551724137931033,0.4655172413793104,0.4221006656573667,0.4221006656573667,116,29,87,7,21
32,0.95,100,0.0005,population,30,6,3,0.25,0.46551724137931033,0.46551724137931033,0.43843938102250124,0.43843938102250124,116,29,146,7,21
64,0.85,50,0.001,population,30,6,3,0.25,0.46551724137931033,0.46551724137931033,0.4423605043839266,0.44236050438392666,116,29,167,7,21
64,0.9,50,0.001,population,30,4,3,0.25,0.46551724137931033,0.46551724137931033,0.4166426618886174,0.4166426618886174,116,29,193,7,21
32,0.95,100,0.001,population,30,4,3,0.25,0.46551724137931033,0.4655172413793103,0.4185811604416256,0.41858116044162547,116,29,148,7,21
32,0.85,100,0.0005,population,30,6,3,0.25,0.45689655172413796,0.45689655172413796,0.41728623493131484,0.4172862349313148,116,29,92,7,21
64,0.9,100,0.0005,population,30,4,3,0.25,0.45689655172413796,0.4568965517241379,0.418269533534254,0.4182695335342539,116,29,199,7,21
32,0.9,100,0.0005,population,30,10,3,0.25,0.45689655172413796,0.4568965517241379,0.4101578074290755,0.41015780742907554,116,29,120,7,21
16,0.85,200,0.0005,population,30,4,3,0.25,0.4482758620689655,0.4482758620689655,0.42457225314368174,0.4245722531436817,116,29,19,7,21
16,0.95,100,0.001,population,30,6,3,0.25,0.4482758620689655,0.4482758620689655,0.3936556507547939,0.393655650754794,116,29,68,7,21
