hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,config_id,n_features,input_channels
16,0.9,200,0.005,population,30,10,3,0.25,0.5862068965517241,0.5862068965517241,0.5798401918775433,0.5798401918775432,116,29,54,7,21
64,0.85,200,0.005,population,30,4,3,0.25,0.5862068965517241,0.5862068965517241,0.5782295740982182,0.5782295740982181,116,29,187,7,21
32,0.85,200,0.0005,population,30,6,3,0.25,0.5862068965517241,0.5862068965517241,0.5655658667290511,0.5655658667290511,116,29,101,7,21
64,0.9,200,0.005,population,30,4,3,0.25,0.5862068965517241,0.5862068965517241,0.5734218817905259,0.5734218817905259,116,29,214,7,21
32,0.85,100,0.005,population,30,4,3,0.25,0.5775862068965517,0.5775862068965518,0.5635451040941338,0.5635451040941338,116,29,97,7,21
32,0.95,100,0.005,population,30,6,3,0.25,0.5775862068965517,0.5775862068965518,0.5601286844952265,0.5601286844952266,116,29,152,7,21
64,0.9,100,0.005,population,30,4,3,0.25,0.5775862068965517,0.5775862068965518,0.57148976048281,0.57148976048281,116,29,205,7,21
32,0.95,200,0.001,population,30,6,3,0.25,0.5775862068965517,0.5775862068965517,0.5682194616977225,0.5682194616977225,116,29,158,7,21
32,0.9,100,0.005,population,30,4,3,0.25,0.5775862068965517,0.5775862068965517,0.5685563922268283,0.5685563922268283,116,29,124,7,21
32,0.85,50,0.005,population,30,6,3,0.25,0.5775862068965517,0.5775862068965517,0.5603164887415473,0.5603164887415473,116,29,89,7,21
32,0.85,200,0.005,population,30,10,3,0.25,0.5775862068965517,0.5775862068965517,0.5695474476262654,0.5695474476262654,116,29,108,7,21
64,0.85,200,0.0005,population,30,6,3,0.25,0.5775862068965517,0.5775862068965517,0.5558857162207218,0.5558857162207218,116,29,182,7,21
32,0.85,200,0.005,population,30,6,3,0.25,0.5775862068965517,0.5775862068965517,0.5715003654970761,0.5715003654970761,116,29,107,7,21
32,0.85,200,0.001,population,30,6,3,0.25,0.5775862068965517,0.5775862068965517,0.5729633620689656,0.5729633620689656,116,29,104,7,21
64,0.85,50,0.005,population,30,4,3,0.25,0.5775862068965517,0.5775862068965517,0.5588682436720682,0.5588682436720682,116,29,169,7,21
64,0.95,200,0.005,population,30,10,3,0.25,0.5775862068965517,0.5775862068965517,0.5739784946236559,0.573978494623656,116,29,243,7,21
16,0.95,100,0.005,population,30,6,3,0.25,0.5775862068965517,0.5775862068965517,0.5477638679338583,0.5477638679338583,116,29,71,7,21
64,0.9,200,0.0005,population,30,4,3,0.25,0.5775862068965517,0.5775862068965517,0.5574581810125181,0.5574581810125181,116,29,208,7,21
32,0.9,200,0.005,population,30,4,3,0.25,0.5775862068965517,0.5775862068965517,0.5718189894888281,0.571818989488828,116,29,133,7,21
64,0.95,50,0.005,population,30,10,3,0.25,0.5775862068965517,0.5775862068965517,0.5579796930809466,0.5579796930809466,116,29,225,7,21
64,0.85,200,0.005,population,30,10,3,0.25,0.5775862068965517,0.5775862068965517,0.5813500596292147,0.5813500596292146,116,29,189,7,21
64,0.9,50,0.005,population,30,6,3,0.25,0.5775862068965517,0.5775862068965517,0.562167382443257,0.562167382443257,116,29,197,7,21
64,0.9,100,0.001,population,30,4,3,0.25,0.5775862068965517,0.5775862068965517,0.562396518492746,0.5623965184927459,116,29,202,7,21
16,0.9,100,0.005,population,30,4,3,0.25,0.5775862068965517,0.5775862068965517,0.5477296181630547,0.5477296181630547,116,29,43,7,21
64,0.95,200,0.0005,population,30,10,3,0.25,0.5775862068965517,0.5775862068965517,0.5586496789436303,0.5586496789436303,116,29,237,7,21
16,0.85,100,0.005,population,30,4,3,0.25,0.5775862068965517,0.5775862068965517,0.565497290968989,0.565497290968989,116,29,16,7,21
64,0.9,100,0.001,population,30,10,3,0.25,0.5775862068965517,0.5775862068965516,0.5566637683945612,0.5566637683945611,116,29,204,7,21
32,0.95,200,0.005,population,30,10,3,0.25,0.5689655172413793,0.5689655172413793,0.5596198350281835,0.5596198350281835,116,29,162,7,21
16,0.85,50,0.005,population,30,6,3,0.25,0.5689655172413793,0.5689655172413793,0.5501097942693252,0.5501097942693252,116,29,8,7,21
64,0.9,100,0.0005,population,30,10,3,0.25,0.5689655172413793,0.5689655172413793,0.5527583914921901,0.5527583914921902,116,29,201,7,21
64,0.85,50,0.001,population,30,10,3,0.25,0.5689655172413793,0.5689655172413792,0.5438840968997629,0.5438840968997629,116,29,168,7,21
64,0.9,100,0.005,population,30,10,3,0.25,0.5689655172413793,0.5689655172413792,0.563952800509102,0.563952800509102,116,29,207,7,21
64,0.85,100,0.001,population,30,4,3,0.25,0.5689655172413793,0.5689655172413792,0.5499071650309858,0.5499071650309858,116,29,175,7,21
16,0.85,50,0.005,population,30,10,3,0.25,0.5689655172413793,0.5689655172413792,0.5488336664469906,0.5488336664469907,116,29,9,7,21
64,0.9,50,0.005,population,30,4,3,0.25,0.5689655172413793,0.5689655172413792,0.5392993178750491,0.539299317875049,116,29,196,7,21
16,0.9,50,0.005,population,30,6,3,0.25,0.5603448275862069,0.560344827586207,0.5347163120567375,0.5347163120567376,116,29,35,7,21
64,0.95,100,0.001,population,30,4,3,0.25,0.5603448275862069,0.560344827586207,0.5261416013304823,0.5261416013304824,116,29,229,7,21
16,0.85,200,0.001,population,30,6,3,0.25,0.5603448275862069,0.560344827586207,0.5454362538869582,0.5454362538869582,116,29,23,7,21
32,0.9,50,0.005,population,30,10,3,0.25,0.5603448275862069,0.5603448275862069,0.5373218528680481,0.5373218528680481,116,29,117,7,21
32,0.85,200,0.001,population,30,4,3,0.25,0.5603448275862069,0.5603448275862069,0.5493621971175647,0.5493621971175647,116,29,103,7,21
64,0.95,100,0.001,population,30,10,3,0.25,0.5603448275862069,0.5603448275862069,0.5393449419568823,0.5393449419568823,116,29,231,7,21
32,0.9,200,0.0005,population,30,6,3,0.25,0.5603448275862069,0.5603448275862069,0.5387974421616137,0.5387974421616137,116,29,128,7,21
16,0.85,200,0.005,population,30,6,3,0.25,0.5603448275862069,0.5603448275862069,0.5498439550875991,0.5498439550875992,116,29,26,7,21
32,0.85,200,0.001,population,30,10,3,0.25,0.5603448275862069,0.5603448275862069,0.5541545003707824,0.5541545003707824,116,29,105,7,21
32,0.9,200,0.001,population,30,4,3,0.25,0.5603448275862069,0.5603448275862069,0.5409422089749959,0.5409422089749959,116,29,130,7,21
64,0.95,100,0.0005,population,30,10,3,0.25,0.5603448275862069,0.5603448275862069,0.5332514332514333,0.5332514332514332,116,29,228,7,21
32,0.85,200,0.0005,population,30,10,3,0.25,0.5603448275862069,0.5603448275862069,0.5408342900880214,0.5408342900880214,116,29,102,7,21
16,0.95,100,0.005,population,30,4,3,0.25,0.5603448275862069,0.5603448275862069,0.5126189775291925,0.5126189775291925,116,29,70,7,21
32,0.85,50,0.005,population,30,4,3,0.25,0.5603448275862069,0.5603448275862069,0.5478839526907173,0.5478839526907172,116,29,88,7,21
64,0.85,200,0.0005,population,30,4,3,0.25,0.5603448275862069,0.5603448275862069,0.5469870617436032,0.5469870617436033,116,29,181,7,21
16,0.95,200,0.001,population,30,6,3,0.25,0.5603448275862069,0.5603448275862069,0.5340524287646888,0.5340524287646887,116,29,77,7,21
32,0.9,200,0.001,population,30,10,3,0.25,0.5603448275862069,0.5603448275862069,0.5568340637537066,0.5568340637537067,116,29,132,7,21
64,0.95,200,0.001,population,30,4,3,0.25,0.5517241379310345,0.5517241379310345,0.5369814241486068,0.5369814241486068,116,29,238,7,21
64,0.95,200,0.0005,population,30,6,3,0.25,0.5517241379310345,0.5517241379310345,0.521505282617506,0.521505282617506,116,29,236,7,21
64,0.95,50,0.005,population,30,6,3,0.25,0.5517241379310345,0.5517241379310345,0.5225027511004402,0.5225027511004402,116,29,224,7,21
64,0.95,200,0.0005,population,30,4,3,0.25,0.5517241379310345,0.5517241379310345,0.5178251408090118,0.5178251408090118,116,29,235,7,21
32,0.9,50,0.005,population,30,6,3,0.25,0.5517241379310345,0.5517241379310345,0.532343596988929,0.532343596988929,116,29,116,7,21
32,0.9,200,0.001,population,30,6,3,0.25,0.5517241379310345,0.5517241379310345,0.53670297204339,0.5367029720433901,116,29,131,7,21
64,0.95,100,0.0005,population,30,6,3,0.25,0.5431034482758621,0.5431034482758621,0.5029140446224256,0.5029140446224256,116,29,227,7,21
16,0.9,200,0.005,population,30,4,3,0.25,0.5431034482758621,0.5431034482758621,0.5294008875905747,0.5294008875905747,116,29,52,7,21
64,0.85,100,0.001,population,30,6,3,0.25,0.5431034482758621,0.5431034482758621,0.5229407061158571,0.5229407061158572,116,29,176,7,21
32,0.85,100,0.001,population,30,10,3,0.25,0.5431034482758621,0.5431034482758621,0.5393939393939394,0.5393939393939394,116,29,96,7,21
32,0.95,50,0.005,population,30,6,3,0.25,0.5431034482758621,0.5431034482758621,0.5180715197956577,0.5180715197956577,116,29,143,7,21
32,0.9,50,0.005,population,30,4,3,0.25,0.5431034482758621,0.5431034482758621,0.5054878454878455,0.5054878454878454,116,29,115,7,21
32,0.85,50,0.005,population,30,10,3,0.25,0.5431034482758621,0.5431034482758621,0.5302939876215738,0.5302939876215739,116,29,90,7,21
16,0.9,50,0.005,population,30,10,3,0.25,0.5431034482758621,0.5431034482758621,0.5074143692564745,0.5074143692564745,116,29,36,7,21
16,0.9,50,0.005,population,30,4,3,0.25,0.5431034482758621,0.5431034482758621,0.5110177995188087,0.5110177995188087,116,29,34,7,21
32,0.9,200,0.0005,population,30,4,3,0.25,0.5344827586206896,0.5344827586206897,0.515017609509135,0.5150176095091349,116,29,127,7,21
32,0.95,200,0.0005,population,30,10,3,0.25,0.5344827586206896,0.5344827586206897,0.5124942604347638,0.5124942604347639,116,29,156,7,21
32,0.95,200,0.001,population,30,4,3,0.25,0.5344827586206896,0.5344827586206897,0.4988040282945202,0.49880402829452025,116,29,157,7,21
32,0.9,200,0.0005,population,30,10,3,0.25,0.5344827586206896,0.5344827586206897,0.5187685568980216,0.5187685568980216,116,29,129,7,21
16,0.85,200,0.001,population,30,4,3,0.25,0.5344827586206896,0.5344827586206896,0.5054834054834054,0.5054834054834054,116,29,22,7,21
64,0.95,50,0.001,population,30,6,3,0.25,0.5258620689655172,0.5258620689655172,0.4911169614212063,0.49111696142120637,116,29,221,7,21
64,0.9,100,0.0005,population,30,6,3,0.25,0.5258620689655172,0.5258620689655172,0.5114573521716379,0.5114573521716379,116,29,200,7,21
32,0.95,50,0.005,population,30,4,3,0.25,0.5258620689655172,0.5258620689655172,0.47946439091720106,0.47946439091720106,116,29,142,7,21
32,0.95,100,0.001,population,30,6,3,0.25,0.5258620689655172,0.5258620689655172,0.5088109354413702,0.5088109354413701,116,29,149,7,21
32,0.95,100,0.005,population,30,4,3,0.25,0.5258620689655172,0.5258620689655172,0.5017896819131433,0.5017896819131434,116,29,151,7,21
32,0.9,100,0.001,population,30,6,3,0.25,0.5258620689655172,0.5258620689655172,0.5100700576477388,0.5100700576477389,116,29,122,7,21
16,0.9,200,0.001,population,30,4,3,0.25,0.5258620689655172,0.5258620689655172,0.4938224580297751,0.4938224580297751,116,29,49,7,21
16,0.95,50,0.005,population,30,4,3,0.25,0.5258620689655172,0.5258620689655172,0.4713217338217338,0.47132173382173376,116,29,61,7,21
16,0.95,200,0.001,population,30,4,3,0.25,0.5258620689655172,0.5258620689655172,0.49602067118241,0.49602067118241006,116,29,76,7,21
16,0.9,200,0.001,population,30,6,3,0.25,0.5258620689655172,0.5258620689655172,0.508652293011173,0.5086522930111729,116,29,50,7,21
16,0.95,200,0.0005,population,30,10,3,0.25,0.5172413793103449,0.5172413793103449,0.4960150871065799,0.49601508710657993,116,29,75,7,21
64,0.85,100,0.0005,population,30,10,3,0.25,0.5172413793103449,0.5172413793103449,0.4860999237634665,0.48609992376346645,116,29,174,7,21
32,0.95,200,0.0005,population,30,4,3,0.25,0.5172413793103449,0.5172413793103449,0.4863100615133136,0.4863100615133135,116,29,154,7,21
32,0.95,100,0.001,population,30,10,3,0.25,0.5172413793103449,0.5172413793103448,0.47991452991452993,0.47991452991452993,116,29,150,7,21
